Id,Label,0,1,2,3,4,5,6,7
AS63768,AS63768,VN_ASN,8.416,63768,Thien Binh Software Service Company Limited,"AS63768
Thien Binh Software Service Company Limited","#8E44AD",transit,
AS131122,AS131122,VN_ASN,8.416,131122,Vietnam Internet network information center (VNNIC),"AS131122
Vietnam Internet network information center (VNNIC)","#8E44AD",transit,
AS131123,AS131123,VN_ASN,8.416,131123,Vietnam Internet network information center (VNNIC),"AS131123
Vietnam Internet network information center (VNNIC)","#8E44AD",transit,
AS131124,AS131124,VN_ASN,8.416,131124,Vietnam Bank For Social Policies,"AS131124
Vietnam Bank For Social Policies","#8E44AD",transit,
AS131125,AS131125,VN_ASN,8.416,131125,TVSI-VN,"AS131125
TVSI-VN","#8E44AD",transit,
AS131126,AS131126,VN_ASN,8.624,131126,Vietnam Airlines Corp,"AS131126
Vietnam Airlines Corp","#8E44AD",transit,
AS131127,AS131127,VN_ASN,9.664,131127,GLOBAL TECHNOLOGY - TELECOMMUNICATIONS CORPORATION,"AS131127
GLOBAL TECHNOLOGY - TELECOMMUNICATIONS CORPORATION","#8E44AD",transit,
AS131128,AS131128,VN_ASN,8.624,131128,Onepay Online Service and Commercial Joint Stock Company,"AS131128
Onepay Online Service and Commercial Joint Stock Company","#8E44AD",transit,
AS131129,AS131129,VN_ASN,8.624,131129,Hochiminh Stock Exchange,"AS131129
Hochiminh Stock Exchange","#8E44AD",transit,
AS131130,AS131130,VN_ASN,8.624,131130,MB securities joint stock company,"AS131130
MB securities joint stock company","#8E44AD",transit,
AS131131,AS131131,VN_ASN,8.416,131131,VNNIC-AS-VN,"AS131131
VNNIC-AS-VN","#8E44AD",transit,
AS131342,AS131342,VN_ASN,8.416,131342,Vietnam Technological and Commercial Joint-stock Bank - Techcombank,"AS131342
Vietnam Technological and Commercial Joint-stock Bank - Techcombank","#8E44AD",transit,
AS131343,AS131343,VN_ASN,8.832,131343,Vietnam Internationl commercial joint stock bank,"AS131343
Vietnam Internationl commercial joint stock bank","#8E44AD",transit,
AS131344,AS131344,VN_ASN,8.416,131344,TH Food Chain Joint Stock Company,"AS131344
TH Food Chain Joint Stock Company","#8E44AD",transit,
AS131345,AS131345,VN_ASN,8.416,131345,KienLong commercial joint stock bank,"AS131345
KienLong commercial joint stock bank","#8E44AD",transit,
AS131347,AS131347,VN_ASN,8.416,131347,Shinhan Viet Nam Bank Limited,"AS131347
Shinhan Viet Nam Bank Limited","#8E44AD",transit,
AS131348,AS131348,VN_ASN,8.624,131348,Joint stock Commercial Bank for Foreign Trade of Viet Nam,"AS131348
Joint stock Commercial Bank for Foreign Trade of Viet Nam","#8E44AD",transit,
