asn,org_name,country,aut_name,rank,cone_asns,cone_prefixes,degree_provider,degree_peer,degree_customer,degree_transit,clique_member
135967,Bach Kim Network solutions Join stock company,VN,BKNS-AS-VN,17542,1,20,2,0,0,0,True
135968,Early Start Joint Stock Company,VN,EARLYSTART-AS-VN,78608,1,0,0,0,0,0,False
135969,Sen Do Technology Joint Stock Company,VN,SENDO-AS-VN,54093,1,2,1,0,0,0,True
135970,,VN,AS135970,78608,1,0,0,0,0,0,False
135971,PetroVietNam Securities Joint Stock Company,VN,PSI-AS-VN,49862,1,1,2,0,0,0,True
135972,Quang Nam Department of Information and Communications,VN,ICTQUANGNAM-AS-VN,54093,1,1,1,0,0,0,True
135973,Bamboo Airways Company Limited,VN,BAV-AS-VN,54093,1,1,1,0,0,0,True
135974,National Power Transmission Corporation,VN,NPT-AS-VN,49862,1,2,2,0,0,0,True
135975,Sea Gem Company Limited,VN,SEAGEM-AS-VN,78608,1,0,0,0,0,0,False
135976,CLO Technology Limited Company,VN,CLO-AS-VN,78608,1,0,0,0,0,0,False
135977,Vietnam BDA technology and communication joint stock company,VN,BDA-CORP-AS-VN,11872,2,2,1,0,1,2,True
135978,Hanoi University of Industry,VN,HAUI-AS-VN,54093,1,1,1,0,0,0,True
135979,QI TECHNOLOGIES CORPORATION,VN,QINET-AS-VN,78608,1,0,0,0,0,0,False
135980,Information and Communication Technology Center of Quang Ninh,VN,ICTQUANGNINH-AS-VN,54093,1,2,1,0,0,0,True
135981,VisualViet Company Limited,VN,VISUALVIET-AS-VN,46606,1,2,1,0,0,0,True
135982,Hoi An South Development Ltd,VN,HASD-AS-VN,49862,1,2,2,0,0,0,True
135983,Tino Group Joint Stock Company,VN,TINO-AS-VN,8704,2,39,1,0,1,2,True
135984,,VN,AS135984,78608,1,0,0,0,0,0,False
135985,BCALL Viet Nam Company Limited,VN,BCALLVINA-AS-VN,54093,1,1,1,0,0,0,True
135986,Turbo Technology Solution Joint Stock Company,VN,ECOCLOUD-AS-VN,54093,1,3,1,0,0,0,True
135987,Reload Company Limited,VN,INDRA-RELOAD-AS-VN,20926,1,8,1,0,0,0,True
135988,Sun Group Corporation,VN,SUNGROUP-AS-VN,48776,1,2,3,0,0,0,True
135989,Tay Ninh Department of Information and Communications,VN,TAYNINH-AS-VN,54093,1,1,1,0,0,0,True
135990,Everest Global Joint Stock Company,VN,EVG-AS-VN,44757,1,3,4,0,0,0,True
135991,Green Network Solutions LTD.,VN,GREENNET-AS-VN,54093,1,1,1,0,0,0,True
135992,Department of Domestic Market Management and Development - Ministry of Industry and Trade,VN,DMS-VN,78608,1,0,0,0,0,0,False
135993,IPTP Networks Company Limited,VN,IPTP-AS-VN,78608,1,0,0,0,0,0,False
135994,IDC Online Technology and Solutions Corporation,VN,IDCONLINE-AS-VN,54093,1,1,1,0,0,0,True
135995,TLINKVN Technology Connection Joint Stock Company,VN,TLINK-AS-VN,78608,1,0,0,0,0,0,False
135996,Be Group Joint Stock Company,VN,BEGROUP-AS-VN,78608,1,0,0,0,0,0,False
135997,EVN Finance Joint Stock Company,VN,EASYCREDIT-AS-VN,67211,1,1,1,0,0,0,True
135998,International Distribution Corporation,VN,IDBVIETNAM-AS-VN,54093,1,1,1,0,0,0,True
135999,ITCPLUS Vietnam Joint Stock Company,VN,ITCPLUS-AS-VN,78608,1,0,0,0,0,0,False
137463,ANM Website Design Service Company Limited,VN,ANM-DESIGN-VN,78608,1,0,0,0,0,0,False
137892,TOAN MY SERVICE BUSINESS LLC,VN,TMSBL-AS-AP,78608,1,0,0,0,0,0,False
139772,Hero Digital Technology LLC,US,HDTL-AS-AP,78608,1,0,0,0,0,0,False
139796,Gia Phu Technology Infrastructure Company Limited,VN,GIAPHUCLOUD-VN,78608,1,0,0,0,0,0,False
140737,Viva social network Joint Stock Company,VN,VIVA-AS-VN,78608,1,0,0,0,0,0,False
140738,VESNET JOINT STOCK COMPANY,VN,WEALLNET-AS-VN,78608,1,0,0,0,0,0,False
140739,USDC TECHNOLOGY JSC,VN,USDC-AS-VN,49862,1,3,2,0,0,0,True
140740,HA CUONG TRADING INVESTMENT COMPANY LIMITED,VN,HACUONG-AS-VN,78608,1,0,0,0,0,0,False
140741,,VN,AS140741,78608,1,0,0,0,0,0,False
140742,DZOGAME COMPANY LIMITED,VN,DZOGAME-AS-VN,54093,1,3,1,0,0,0,True
140743,Vietnam Cloud Technology and Services Joint Stock Company,VN,ZHOST-VN,78608,1,0,0,0,0,0,False
140744,Hanoi Technology and Equipment Joint Stock Company,VN,MAT-HN-AS-VN,78608,1,0,0,0,0,0,False
140745,VINTEK VIET NAM TECHNOLOGY TELECOM COMPANY LIMITED,VN,VINTEK-AS-VN,35029,1,4,3,0,0,0,True
140746,MCT Technology Solution Joint Stock Company,VN,MCT-AS-VN,78608,1,0,0,0,0,0,False
140747,Department of Science and Technology of Dong Nai province,VN,DONGNAI-VN,54093,1,1,1,0,0,0,True
140748,Department of Science and Technology of Vinh Long province,VN,ICTVL-AS-VN,49862,1,1,2,0,0,0,True
140749,NSTECH VIET NAM JOINT STOCK COMPANY,VN,NSTECH-AS-VN,78608,1,0,0,0,0,0,False
140750,Viet Nam Telecommunications Authority,VN,VNTA-AS-VN,54093,1,2,1,0,0,0,True
140751,Information Technology and Communication Center of Binh Thuan Department of Information and Communications,VN,ICTBT-AS-VN,54093,1,1,1,0,0,0,True
140752,Kien Phong Trading Service Telecommunication Company Limited,VN,KIENPHONG-AS-VN,78608,1,0,0,0,0,0,False
140753,Representative Office in Hanoi of Vinahost Company Limited,VN,VINAHOST-HN-AS-VN,78608,1,0,0,0,0,0,False
140754,SPR Viet Nam Joint Stock Company,VN,SPRVIETNAM-AS-VN,78608,1,0,0,0,0,0,False
140755,Ha Tuyet Trading and Services Company Limited,VN,HATUYETTECH-VN,78608,1,0,0,0,0,0,False
140756,SAIGON TELECOMMUNICATIONS TECHNOLOGY SOLUTIONS COMPANY,VN,SAIGONTECHSOLUTIONS-AS-VN,78608,1,0,0,0,0,0,False
140757,K2F Information Technology Company Limited,VN,FISYS-AS-VN,54093,1,3,1,0,0,0,True
140758,Department of Science and Technology of Ca Mau province,VN,CAMAU-AS-VN,54093,1,1,1,0,0,0,True
